epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,106078,1.41325,1.32294,1.10569,0.44559,0.39369,0.37153,0.21263,1.25554,1.87261,1.00147,0.006634,0.006634,0.006634
104,107131,1.41053,1.31941,1.10396,0.44393,0.39165,0.37039,0.21253,1.25576,1.85605,1.00149,0.006601,0.006601,0.006601
105,108220,1.41257,1.32502,1.10567,0.44795,0.39124,0.37086,0.21281,1.25649,1.85057,1.0016,0.006568,0.006568,0.006568
106,109300,1.41216,1.3191,1.10388,0.44656,0.39644,0.37149,0.21299,1.25685,1.83795,1.00165,0.006535,0.006535,0.006535
107,110350,1.40588,1.31294,1.10199,0.44769,0.39747,0.37251,0.21344,1.25733,1.81846,1.0019,0.006502,0.006502,0.006502
108,111448,1.40883,1.31275,1.1024,0.44579,0.39725,0.37222,0.21363,1.25787,1.78968,1.00203,0.006469,0.006469,0.006469
109,112524,1.40557,1.30841,1.10195,0.4474,0.39689,0.37251,0.21382,1.25807,1.77422,1.00223,0.006436,0.006436,0.006436
110,113696,1.40575,1.31076,1.10028,0.45125,0.39792,0.37301,0.2142,1.2586,1.76688,1.00235,0.006403,0.006403,0.006403
111,114799,1.40717,1.3024,1.10117,0.45004,0.39901,0.37334,0.21423,1.25931,1.76523,1.00268,0.00637,0.00637,0.00637
112,115889,1.40317,1.3027,1.10171,0.45431,0.39757,0.37432,0.21464,1.25964,1.7849,1.00294,0.006337,0.006337,0.006337
113,116954,1.39983,1.30138,1.09877,0.45246,0.40048,0.37504,0.21513,1.25931,1.78774,1.00274,0.006304,0.006304,0.006304
114,118021,1.40216,1.29793,1.1009,0.45235,0.39708,0.37442,0.21518,1.25979,1.76324,1.00292,0.006271,0.006271,0.006271
115,119108,1.40318,1.29681,1.09967,0.45713,0.39277,0.37429,0.2153,1.26017,1.75224,1.00292,0.006238,0.006238,0.006238
116,120219,1.40172,1.29145,1.09823,0.45628,0.39539,0.37521,0.21546,1.26014,1.75378,1.00303,0.006205,0.006205,0.006205
