epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
147,154432,1.37333,1.225,1.08756,0.46545,0.24087,0.23316,0.14627,1.27203,1.49516,1.0105,0.005182,0.005182,0.005182
148,155498,1.37043,1.22654,1.08736,0.45903,0.24266,0.23313,0.14611,1.27163,1.48231,1.01046,0.005149,0.005149,0.005149
149,156598,1.36604,1.21911,1.08301,0.45742,0.24352,0.23265,0.14632,1.27182,1.47244,1.01051,0.005116,0.005116,0.005116
150,157622,1.36571,1.21774,1.08363,0.4579,0.24427,0.23305,0.14617,1.27217,1.46607,1.01049,0.005083,0.005083,0.005083
151,158682,1.36656,1.21837,1.08353,0.46606,0.23809,0.23294,0.14642,1.27231,1.4555,1.01057,0.00505,0.00505,0.00505
152,159752,1.36777,1.2162,1.08361,0.47866,0.23102,0.23279,0.14644,1.27255,1.45891,1.0106,0.005017,0.005017,0.005017
153,160769,1.36555,1.21266,1.08466,0.47,0.23314,0.23315,0.14757,1.27242,1.45491,1.01055,0.004984,0.004984,0.004984
154,161818,1.36116,1.20494,1.08233,0.45972,0.23779,0.23378,0.14673,1.27234,1.446,1.01047,0.004951,0.004951,0.004951
155,162855,1.36263,1.20982,1.08125,0.45031,0.24303,0.23403,0.14698,1.27222,1.44531,1.01037,0.004918,0.004918,0.004918
156,163915,1.36208,1.20112,1.08194,0.39688,0.24436,0.23443,0.14752,1.2723,1.439,1.0104,0.004885,0.004885,0.004885
157,164948,1.36125,1.20182,1.0828,0.38109,0.25421,0.23504,0.14765,1.27214,1.44242,1.0106,0.004852,0.004852,0.004852
158,166030,1.36301,1.19858,1.08122,0.38468,0.25123,0.23504,0.14764,1.27186,1.44217,1.0102,0.004819,0.004819,0.004819
159,167065,1.35877,1.19907,1.0806,0.38535,0.25358,0.23586,0.1477,1.27195,1.44346,1.01028,0.004786,0.004786,0.004786
160,168133,1.35841,1.19253,1.08113,0.38659,0.2533,0.23687,0.14815,1.27211,1.44751,1.01028,0.004753,0.004753,0.004753
161,169173,1.36083,1.19814,1.0801,0.38506,0.25371,0.23724,0.14862,1.27187,1.45178,1.01034,0.00472,0.00472,0.00472
162,170247,1.35643,1.19529,1.08032,0.38653,0.2568,0.23823,0.14855,1.27232,1.46556,1.01066,0.004687,0.004687,0.004687
163,171341,1.3567,1.18932,1.07908,0.38584,0.25934,0.23916,0.14883,1.27183,1.4684,1.01051,0.004654,0.004654,0.004654
164,172381,1.35598,1.18933,1.07793,0.3909,0.25946,0.23985,0.14905,1.27242,1.4672,1.01092,0.004621,0.004621,0.004621
165,173361,1.35001,1.18404,1.07647,0.39098,0.25845,0.23989,0.14921,1.27267,1.46683,1.01098,0.004588,0.004588,0.004588
166,174469,1.34796,1.188,1.07534,0.39442,0.25652,0.24074,0.14911,1.27272,1.46512,1.01085,0.004555,0.004555,0.004555
167,175497,1.34952,1.17893,1.07652,0.39602,0.25354,0.24108,0.1491,1.27276,1.46132,1.01088,0.004522,0.004522,0.004522
168,176610,1.35168,1.17561,1.07721,0.39429,0.25334,0.24082,0.14888,1.27266,1.46269,1.01097,0.004489,0.004489,0.004489
169,177685,1.34887,1.17846,1.07611,0.39533,0.25194,0.24104,0.14863,1.27312,1.46777,1.01101,0.004456,0.004456,0.004456
170,178844,1.3482,1.17649,1.07679,0.39731,0.25234,0.24037,0.14876,1.27385,1.47185,1.01135,0.004423,0.004423,0.004423
171,179966,1.34897,1.17125,1.07642,0.45725,0.24981,0.24029,0.14863,1.27385,1.47319,1.01146,0.00439,0.00439,0.00439
172,181050,1.3445,1.16901,1.07293,0.44058,0.25704,0.24053,0.14842,1.27401,1.46977,1.01131,0.004357,0.004357,0.004357
173,182207,1.34068,1.16481,1.07206,0.39216,0.25578,0.24068,0.14872,1.2743,1.47084,1.01154,0.004324,0.004324,0.004324
174,183265,1.34972,1.16822,1.07388,0.44702,0.25421,0.24065,0.1493,1.27404,1.47053,1.01141,0.004291,0.004291,0.004291
175,184363,1.34525,1.16626,1.07459,0.44161,0.25871,0.24058,0.14953,1.27418,1.47191,1.01138,0.004258,0.004258,0.004258
176,185435,1.33929,1.15854,1.07215,0.45645,0.25571,0.24149,0.14978,1.27511,1.46631,1.0115,0.004225,0.004225,0.004225
177,186539,1.34367,1.16023,1.07116,0.45982,0.25431,0.24173,0.14989,1.27507,1.46142,1.01128,0.004192,0.004192,0.004192
178,187628,1.33975,1.15805,1.07094,0.38973,0.2627,0.24181,0.14977,1.27578,1.45373,1.01142,0.004159,0.004159,0.004159
179,188704,1.33615,1.14943,1.07169,0.3334,0.26213,0.24261,0.14989,1.27601,1.455,1.01145,0.004126,0.004126,0.004126
180,189846,1.33465,1.15455,1.07082,0.39543,0.25349,0.24164,0.15016,1.27616,1.45261,1.0115,0.004093,0.004093,0.004093
181,190954,1.33584,1.15244,1.07001,0.33768,0.25969,0.2422,0.14989,1.27629,1.45338,1.01137,0.00406,0.00406,0.00406
182,192042,1.33727,1.14737,1.07003,0.3907,0.25914,0.24213,0.15,1.27637,1.45329,1.01147,0.004027,0.004027,0.004027
183,193160,1.3339,1.14795,1.0681,0.40507,0.25172,0.24245,0.1505,1.27746,1.45795,1.01213,0.003994,0.003994,0.003994
184,194295,1.33394,1.1438,1.0686,0.40619,0.25353,0.2425,0.15055,1.27778,1.4601,1.01235,0.003961,0.003961,0.003961
185,195391,1.33419,1.14647,1.06837,0.39856,0.25901,0.24282,0.15094,1.27776,1.45865,1.01241,0.003928,0.003928,0.003928
186,196438,1.3319,1.13609,1.06779,0.40593,0.25512,0.24297,0.15116,1.27775,1.45566,1.01247,0.003895,0.003895,0.003895
187,197578,1.33063,1.13816,1.06859,0.39731,0.26061,0.24369,0.15117,1.27829,1.45413,1.01261,0.003862,0.003862,0.003862
188,198757,1.32541,1.13309,1.06673,0.3926,0.2606,0.24381,0.15181,1.2784,1.45849,1.01283,0.003829,0.003829,0.003829
